id,title,url,created_at,carousel,gallery,image_size,updated_at
1,Játszótér,https://utfs.io/f/26L8Sk7UnuECn1bcfKypuwvx56J1US2AQWgyPYTDO7XGiend,2024-12-06T18:14:05.188Z,1,1,416300,2025-01-18T15:08:26.945Z
39,4a_kep.JPG,https://utfs.io/f/26L8Sk7UnuECSkosUXrBJwXMmcgpOnyY6qTPFChLG0Sl2ukN,2025-01-30T08:48:02.490Z,0,0,0,2025-01-30T08:52:53.314Z
40,5a_kep.JPG,https://utfs.io/f/26L8Sk7UnuEC23QYSOUnuECB16T3NaRGHbkgyItv9Smfci0q,2025-01-30T08:49:06.791Z,0,0,0,2025-01-30T08:52:54.854Z
22,Tavasz,https://utfs.io/f/26L8Sk7UnuECj8eYgFvdVTPH1f4QNIYeZOKG0nqzEAJr6FLg,2025-01-21T09:07:55.379Z,0,1,0,2025-01-30T08:56:42.993Z
20,Őzláb gomba,https://utfs.io/f/26L8Sk7UnuECEXNJlBeDfCRWZAPiqY1BUG5V8Mz3t920HXwj,2025-01-20T19:33:05.699Z,0,0,181397,2025-01-30T08:56:57.077Z
7,Ady utca,https://utfs.io/f/26L8Sk7UnuECXtmPDGcZENFc91oCB07LqidpvXmUWH4VeMwx,2024-12-30T17:34:50.814Z,0,1,0,2025-01-18T16:28:56.117Z
41,2025_02_22_Farsang plakát2.jpg,https://utfs.io/f/26L8Sk7UnuECjq1lG6dVTPH1f4QNIYeZOKG0nqzEAJr6FLgy,2025-02-07T15:36:01.025Z,0,0,4146191,2025-02-07T15:36:01.025Z
42,2025_02_22_Farsang plakát2.jpg,https://utfs.io/f/26L8Sk7UnuECSBdC20rBJwXMmcgpOnyY6qTPFChLG0Sl2ukN,2025-02-08T09:09:49.583Z,0,0,4146191,2025-02-08T09:09:49.583Z
9,Honvedseg.jpg,https://utfs.io/f/26L8Sk7UnuECwcWT6w9heWP5jZyfGnp24M8Jrbm0t9vNAFka,2025-01-01T15:58:44.592Z,0,0,0,2025-01-11T10:54:38.565Z
24,26L8Sk7UnuEC3LDtQ4GVEstpDrH4YmojWGN9uMyOIeCwJlKn.jpg,https://utfs.io/f/26L8Sk7UnuECreJYxZbVX5JwIdfPKubn4WEsNUiZezhFy3OY,2025-01-22T21:10:54.941Z,0,0,181397,2025-01-22T21:10:54.941Z
14,Bakonykuti_1424-2000.jpg,https://utfs.io/f/26L8Sk7UnuECdDrxrx1Uhew93I0vo8azHPAfDN5B2qQFlKmt,2025-01-01T16:37:40.846Z,0,0,0,2025-01-11T10:54:38.565Z
43,2025_02_22_Farsang plakát2.jpg,https://utfs.io/f/26L8Sk7UnuECLskRArKbp6Sh14YX5LERKwtFsGya3UVgiH8Q,2025-02-08T09:10:07.734Z,0,0,4146191,2025-02-08T09:10:07.734Z
44,kki_logo.png,https://utfs.io/f/26L8Sk7UnuECXYNUyicZENFc91oCB07LqidpvXmUWH4VeMwx,2025-02-18T14:58:10.176Z,0,0,39712,2025-02-18T14:58:10.176Z
45,kki_logo.png,https://utfs.io/f/26L8Sk7UnuECbdeKZYOWbPq5eHr31oBZJLQdxS6Gvi8k2mFj,2025-02-18T14:59:35.170Z,0,0,39712,2025-02-18T14:59:35.170Z
46,kki_logo.png,https://utfs.io/f/26L8Sk7UnuECB6mwoILtiGAb1WuzdjMZ6rO9S2U8Ll3D75pI,2025-02-18T15:00:00.591Z,0,0,39712,2025-02-18T15:00:00.591Z
5,Baglyas,https://utfs.io/f/26L8Sk7UnuECSheGIErBJwXMmcgpOnyY6qTPFChLG0Sl2ukN,2024-12-28T10:52:06.748Z,0,1,0,2025-01-11T10:54:38.565Z
47,BKuti_cimer.jpg,https://utfs.io/f/26L8Sk7UnuECKB4j75iwM9qkW1bhYdTcOEV5rUQnXmvG3JL7,2025-02-18T15:04:43.348Z,0,0,14982,2025-02-18T15:04:43.348Z
3,Polgármesteri hivatal,https://utfs.io/f/26L8Sk7UnuECIaccBCbF3U6xf5SojbkZpQ2y7DV0lPOWMeCB,2024-12-06T18:14:05.215Z,1,1,0,2025-01-11T10:54:38.565Z
48,BKuti_cimer.jpg,https://utfs.io/f/26L8Sk7UnuECkcbT70wPCJb48Ar2U9okYnfdSWvR5pDwstVe,2025-02-18T15:08:08.817Z,0,0,14982,2025-02-18T15:08:08.817Z
2,Játszótér2,https://utfs.io/f/26L8Sk7UnuECw9AGByheWP5jZyfGnp24M8Jrbm0t9vNAFkaB,2024-12-06T18:14:05.193Z,1,1,0,2025-01-24T16:46:51.846Z
49,BKuti_cimer.jpg,https://utfs.io/f/26L8Sk7UnuECoEXIdxAu3SMxWU2adZA8VJYKbfw6OtzGmPIQ,2025-02-18T15:10:20.211Z,0,0,14982,2025-02-18T15:10:20.211Z
50,BKuti_cimer.jpg,https://utfs.io/f/26L8Sk7UnuECnHDiRUypuwvx56J1US2AQWgyPYTDO7XGiend,2025-02-18T15:10:54.551Z,0,0,14982,2025-02-18T15:10:54.551Z
64,6_kep.jpg,https://utfs.io/f/26L8Sk7UnuECnZ1llaypuwvx56J1US2AQWgyPYTDO7XGiend,2025-03-23T05:47:18.116Z,0,0,0,2025-03-23T05:58:19.325Z
35,1_kep.jpg,https://utfs.io/f/26L8Sk7UnuECsKKSMqzBglwcTmdj90FZsYR7yQuMS3OeJ4B1,2025-01-24T16:49:12.845Z,0,0,0,2025-01-24T17:04:50.807Z
36,2_kep.jpg,https://utfs.io/f/26L8Sk7UnuECufbHLszmDBpZYSAVG1czbfeQOu9yK3WLdFln,2025-01-24T17:05:10.340Z,0,0,0,2025-01-24T17:09:33.730Z
38,3a_kep.jpg,https://utfs.io/f/26L8Sk7UnuECYBe5Hqn5diVuyFRbKC6l9PrQOtLBvmwhEopq,2025-01-30T08:43:56.669Z,0,0,0,2025-01-30T08:46:59.081Z
52,26L8Sk7UnuECcHNLIyMGlVyP5pWMY6DoSU8zQmEbCBJ0Nt2O.webp,https://utfs.io/f/26L8Sk7UnuECo5yHF8Au3SMxWU2adZA8VJYKbfw6OtzGmPIQ,2025-03-06T08:55:06.459Z,0,0,138360,2025-03-06T08:55:06.459Z
53,UFO.jpeg,https://utfs.io/f/26L8Sk7UnuECXSrDiHqcZENFc91oCB07LqidpvXmUWH4VeMw,2025-03-06T08:56:23.472Z,0,0,221100,2025-03-06T08:56:23.472Z
54,UFO.jpg,https://utfs.io/f/26L8Sk7UnuEC3AgeVtGVEstpDrH4YmojWGN9uMyOIeCwJlKn,2025-03-06T08:57:27.649Z,0,0,221424,2025-03-06T08:57:27.649Z
55,2025_03_15_Pilvax Kávéház.jpg,https://utfs.io/f/26L8Sk7UnuECM4JateSfVkXvqlZ4gba0UNI8zsDYxnhyrG2d,2025-03-06T09:07:10.271Z,0,0,123252,2025-03-06T09:07:10.271Z
56,2025_03_15_Pilvax Kávéház.jpg,https://utfs.io/f/26L8Sk7UnuECAQF3xuRG0hVAdNUJ9M2RYupFQZcsWLlTxwzk,2025-03-06T09:28:43.310Z,0,0,123252,2025-03-06T09:28:43.310Z
57,2025_03_15_Pilvax Kávéház.jpg,https://utfs.io/f/26L8Sk7UnuECI1Gr4vF3U6xf5SojbkZpQ2y7DV0lPOWMeCBq,2025-03-06T09:29:25.705Z,0,0,123252,2025-03-06T09:29:25.705Z
58,2025_03_15_Pilvax Kávéház.jpg,https://utfs.io/f/26L8Sk7UnuECj8lG98MdVTPH1f4QNIYeZOKG0nqzEAJr6FLg,2025-03-06T09:32:25.821Z,0,0,123252,2025-03-06T09:32:25.821Z
59,2025_03_15_Pilvax Kávéház.jpg,https://utfs.io/f/26L8Sk7UnuEC3sJg1vGVEstpDrH4YmojWGN9uMyOIeCwJlKn,2025-03-06T09:34:08.671Z,0,0,123252,2025-03-06T09:34:08.671Z
60,Könyvjelző.jpg,https://utfs.io/f/26L8Sk7UnuEC1G9RUR789QX6bm0v4B8adyiMJAnfwWCDKkVO,2025-03-06T09:38:19.859Z,0,0,29184,2025-03-06T09:38:19.859Z
61,Könyvjelző.jpg,https://utfs.io/f/26L8Sk7UnuECjy8y1adVTPH1f4QNIYeZOKG0nqzEAJr6FLgy,2025-03-06T09:41:08.305Z,0,0,29184,2025-03-06T09:41:08.305Z
51,Földönkívüli.jpg,https://utfs.io/f/26L8Sk7UnuECcHNLIyMGlVyP5pWMY6DoSU8zQmEbCBJ0Nt2O,2025-03-06T08:49:11.670Z,0,0,0,2025-03-06T16:03:10.884Z
62,Erdo.jpg,https://utfs.io/f/26L8Sk7UnuECKd1xamiwM9qkW1bhYdTcOEV5rUQnXmvG3JL7,2025-03-20T19:07:55.662Z,0,0,730143,2025-03-20T19:07:55.662Z
63,Erdo.jpg,https://utfs.io/f/26L8Sk7UnuECGPCCZIlRAoqETBFgX2U4fvkxMsYmrHbh51an,2025-03-20T19:08:22.778Z,0,0,730143,2025-03-20T19:08:22.778Z
66,8_kep_1910-es_evek.jpg,https://utfs.io/f/26L8Sk7UnuECnNakkPypuwvx56J1US2AQWgyPYTDO7XGiend,2025-03-23T05:47:45.189Z,0,1,0,2025-03-23T05:58:24.689Z
65,7_kep.jpg,https://utfs.io/f/26L8Sk7UnuECpe74Ug60tYOVN4SgU2xuoem6swRjIQKAFZBL,2025-03-23T05:47:36.112Z,0,0,0,2025-03-23T05:58:27.207Z
68,Eboltás.jpg,https://utfs.io/f/26L8Sk7UnuECIaXv38vF3U6xf5SojbkZpQ2y7DV0lPOWMeCB,2025-04-16T16:08:50.725Z,0,0,450167,2025-04-16T16:08:50.725Z
67,Eboltás.jpg,https://utfs.io/f/26L8Sk7UnuECh2bJf6X2NFjoegCyrV3qp4LH1DuZtd5nIKsc,2025-04-16T16:07:40.470Z,0,0,0,2025-04-16T16:09:13.175Z
69,Födém,https://utfs.io/f/26L8Sk7UnuECGzjwD9lRAoqETBFgX2U4fvkxMsYmrHbh51an,2025-06-21T05:49:14.085Z,0,0,0,2025-06-21T05:52:36.744Z
71,download.jpg,https://utfs.io/f/26L8Sk7UnuECw93eHmheWP5jZyfGnp24M8Jrbm0t9vNAFkaB,2025-06-21T06:04:10.914Z,0,0,9287,2025-06-21T06:04:10.914Z
70,download.jpg,https://utfs.io/f/26L8Sk7UnuECKcqdwtiwM9qkW1bhYdTcOEV5rUQnXmvG3JL7,2025-06-21T06:03:13.372Z,0,0,0,2025-06-21T06:06:24.486Z
