id,title,content,slug,last_modified
27,Közérdekü adatok,Törvényes,onkormanyzat/kozerdeku-adatok,2025-01-23T16:35:43.887Z
13,Képviselő testület,"
2024-2029




|    Név    |  Titulus  |
| ------------------- | ------------- |
| Marics József        | polgármester polgarmester@bakonykuti.hu|
| Márkus Erika        | alpolgármester |
| Horel Ágota         | képviselő     |
| Pató Ágnes          | képviselő     |
| Talaberné Fodor Éva | képviselő     |

## 
[Bakonykúti Községi Önkormányzat Képviselő-testülete 2025-2029 évekre szóló gazdasági programja, fejlesztési terve](https://utfs.io/f/26L8Sk7UnuECpetpLib0tYOVN4SgU2xuoem6swRjIQKAFZBL) 
		",onkormanyzat/kepviselo-testulet,2025-04-08T16:27:15.689Z
28,Hirdetmény,"A legfrissebb hirdetmények elérhetőek itt. 
## 
VERGA haszonbérleti díj: 

https://utfs.io/f/26L8Sk7UnuECj2meBsdVTPH1f4QNIYeZOKG0nqzEAJr6FLgy
## 
MEGHÍVÓ a VERGA Vadászterület tulajdonosi közösségének gyűlésére (2025.04.24, 8:00-9:00): 

https://utfs.io/f/26L8Sk7UnuECHms9aAPrhOQ7z5tdNT6PIwFxqfA2XscmnvoM
## 
		",onkormanyzat/hirdetmenyek,2025-03-20T19:35:20.254Z
62,Körzeti Megbízott,wip2,kozerdeku/korzeti-megbizott,2025-03-29T13:09:26.593Z
34,Településrendezési eszközök és arculati kézikönyv,"## Bakonykúti Község jóváhagyott településfejlesztési koncepciója, településszerkezeti terve, helyi építési szabályzata és arculati kézikönyve 

1. TELEPÜLÉSFEJLESZTÉSI KONCEPCIÓ
 

[H27.sz. Határozat - koncepció](http://www.bakonykuti.hu/bkhesz/27hat.pdf)
 

[BAKONYKÚTI TELÜLÉSFEJLESZTÉSI KONCEPCIÓ](http://www.bakonykuti.hu/bkhesz/BKTFK.pdf)

 
 

2. TELEPÜLÉSSZERKEZETI TERV
 

[BAKONYKÚTI TSZT Határozat és leírás](http://www.bakonykuti.hu/bkhesz/BKTSZTHAT.pdf)

 

[TSZT SZERKEZETI TERV](http://www.bakonykuti.hu/bkhesz/TSZTszt.pdf)

 

3. HELYI ÉPÍTÉSI SZABÁLYZAT
 

[BAKONYKÚTI HÉSZ](http://www.bakonykuti.hu/bkhesz/BKHESZ.pdf)

 

[HÉSZ 2.sz MELLÉKLET : SZT-1 Belterületi szabályozási terv](http://www.bakonykuti.hu/bkhesz/SZT1Belt.pdf)

 

[HÉSZ 3.sz. MELLÉKLET: SZT-2 Külterületi szabályozási terv](http://www.bakonykuti.hu/bkhesz/SZT2Kult.pdf)

 

[HESZ 3. függelék mintakeresztszelvenyek](http://www.bakonykuti.hu/bkhesz/BKHESZ3mkszelv.pdf)

 ## 
[TELEPÜLÉS ARCULATI KÉZIKÖNYV](http://www.bakonykuti.hu/rend/Bakonykuti_TAK.pdf)
 

 
## 
## TELEPÜLÉSKÉP VÉDELEM
 

Közérthetõ tájékoztató a településkép védelmérõl szóló rendelet módosításáról [itt](http://www.bakonykuti.hu/Hirdet/S25C-921111112011.pdf)! /2021.10.11/

 

 
## 
Tájékoztató a településkép védelmérõl szóló önkormányzati rendeletrõl és a települési fõépítész alkalmazásáról

[Megnyitás PDF-ben](http://www.bakonykuti.hu/Hirek/FoepiteszTajekoztato.pdf)
## 


Az eljárások szakszerû lefolytatása érdekében Bakonykúti Község Önkormányzata 2025. január 1-tõl települési fõépítészt foglalkoztat. A települési fõépítész elérhetõségei az alábbiak:

·         Név:           Eartl Antal

·         Telefon:      +36/70-385-0133

·         e-mail:        ertl.antal@feterv.hu

·         személyesen:        Székesfehérvár, Kassai utca 79. Irodában, előzetes egyeztetést követően. 


## 
",onkormanyzat/telepulesrendezesi-eszkozok-es-arculati-kezikonyv,2025-01-23T16:22:21.343Z
26,Elérhetőségek,"
Iszkaszentgyörgyi Közös Önkormányzati hivatal elérhetőségei:
- Telefon: 22-596-026 vagy 22-441-010
- E-mail: jegyzo@iszkaszentgyorgy.hu

Bakonykúti Önkormányzati hivatal elérhetőségei:
- Ügyfélfogadás kedden 08.00-12.00-ig
- Telefon: 22-596-026
- E-mail: polgarmester@bakonykuti.hu

		",onkormanyzat/elerhetosegek,2025-01-23T16:26:10.262Z
19,Iszkaszentgyörgyi Közös Önkormányzati Hivatal ,"
## **Iszkaszentgyörgyi Közös Önkormányzati hivatal ügyfélfogadása:**



Hétfõ: 13:00 – 15:30

Kedd : 08:00-12:00

Szerda: 08:00-12:00 és 13:00-15:30

Csütörtök: Nincs

Péntek: 8:00-12:00
 

## **Iszkaszentgyörgyi Közös Önkormányzati hivatal elérhetõségei:**

Telefon: 22-596-026 vagy 22-441-010

Fax: 22-596-027

E-mail: jegyzo@iszkaszentgyorgy.hu

 ## 

Bővebb információ a Közös Hivatal munkatársairól és ügyfélfogadási rendjéről itt található: https://iszkaszentgyorgy.hu/onkormanyzat/kozos-hivatal-munkatarsai-es-ugyfelfogadasi-rendje/ 
	",onkormanyzat/iszkaszentgyorgyi-kozos-onkormanyzati-hivatal,2025-01-23T16:29:48.203Z
16,Önkormányzati rendeletek,"
[Nemzei Jogszabálytár](https://or.njt.hu/onkorm/-:19:3678:-:-:1:-:-:-/1/10)

6/2022 rendelet

Személyes gondoskodást nyújtó szociális ellátások térítési díjainak változása

10/2021 rendelet

Személyes gondoskodást nyújtó szociális ellátások (egységes szerkezetbe foglalt)

		",onkormanyzat/onkormanyzati-rendeletek,2024-12-08T21:57:44.405Z
2,Látnivalók,"
### Vendéglátás és kirándulási lehetőségek

Bakonykútiban több vendégház várja a turistákat, akik nyugodt, természetközeli pihenésre vágynak. 
## 
A faluból számos kirándulási lehetőség kínálkozik:

- **Baglyas-hegy**: A környék legszebb panorámája nyílik innen.
- **Bogrács-hegy**: Kincsesbánya irányában található.
- **Burok-völgy**: Ritka természeti szépségű völgy, amelyet több helyen meredek sziklafalak határolnak.


---


### **Baglyas-hegy**

![kep](https://upload.wikimedia.org/wikipedia/commons/9/93/Turistaut.jpg)
## 
A 363 méter magas Baglyas-hegy tömbje, különösen távolabbról nézve, tűzhányóra emlékeztet. Ez a terület:

- Fehérlő réteghatároktól szeletelt falakkal,
- Mély horhosokkal,
- Keskenyre kopott gerincekkel,
- Leszakadozott, állat-formájú sziklákkal,
- Elvetélődött, elvonszolódott dolomit-tömbökkel, amelyek egy bizarr világot alkotnak.

A csúcsáról zavartalan körpanoráma nyílik:

- **Kelet felé**: Székesfehérvár.
- **Észak felé**: A Vértes egy része, például a Móri-árok, Csóka-hegy és Csókakő.
- **Nyugat felé**: A Bakony közeli részletei: Burok-völgy szájadéka, Tési-fennsík laposa, Keleti-Bakony magasabb régiói.

A tetőn található egy antennatorony és egy kopjafa, amelyet 1991-ben állítottak. Az évfordulóján, június végéhez eső szombaton, sok kiránduló zarándokol ide.

---

### **Burok-völgy**

A Burok-völgy Magyarország egyik legérdekesebb természetvédelmi területe. Ritka természeti jelenségekkel, botanikai és zoológiai érdekességekkel várja a látogatókat.

#### **Fekvése**

- A völgy a **Keleti-Bakonyban**, Fejér és Veszprém megye határán található.
- **Hossza**: Mintegy 12 km Királyszállástól Bakonykúti községéig.
- **Mélysége**: 50–90 méter, számos függőleges sziklafallal.
- **Szintkülönbsége**: Kb. 200 méter.

#### **Kialakulása és barlangjai**

- A völgy kanyon jellege **hasadásos eredetű**, nem folyóvízi erózió okozta.
- A felemelkedő kőzetréteg feszültsége töréseket és sziklaformációkat hozott létre.
- **Barlangok**: 42 barlangot tártak fel eddig, ezek többsége kicsi (átlagos hosszuk 5–8 méter).
    - **Ruska-zsomboly**: A legnagyobb barlang a Bükkös-árok mellett található, hossza 73 méter, mélysége 21 méter.

#### **Növény- és állatvilág**

- A völgy klímája eltér környezetétől: hűvösebb és párásabb, ami lehetővé tette jégkorszaki növényfajok fennmaradását, mint például:
    - **Havasi hagyma**
    - **Cifra nádtippan**
    - **Fürtös holdruta**
- Több mint 200 madárfaj figyelhető meg, közülük soknak fészkelőhelyet biztosít a völgy.

A Burok-völgy különlegessége, hogy Magyarország egyik egyedülállóan ősi állapotban megmaradt természetes erdeje. Ez a terület lehetőséget nyújt a természet regenerációs folyamatainak tanulmányozására.",bakonykuti/latnivalok,2025-01-13T15:55:29.674Z
9,Bakonykúti Környéke,"
### **Iszkaszentgyörgy** _(10 km)_

- **Kastély**
- **Katolikus templom**
- **Szent György Kápolna**
- **Csillaghegyi kilátó**
- **Kőpiramis**

### **Kincsesbánya** _(9 km)_

- **Bányász emlékhely**

### **Fehérvárcsurgó** _(11 km)_

- **Gaja-völgyi tájcentrum** _(7.6 km)_
    - Víztározó
- **Károlyi kastély**

### **Csókakő** _(19 km)_

- **Csókakői vár**

### **Bodajk** _(13 km)_

- **Segítő Szűz Mária kegytemplom**
- **Kálvária domb**
- **Szoborpark**
    ",bakonykuti/kornyekunk,2025-01-23T15:53:29.416Z
